Day, Price in USD, Daily KSM Volume, Staking Rewards in KSM, Number of Payouts, Value in Fiat
31-12-2020, 62.17, 124094522.96369068, 14.153426520362, 26, 879.9185267709056
01-01-2021, 72.64, 157333845.77335382, 8.915367934776, 11, 647.6123267821287
02-01-2021, 69.38, 114317352.40303874, 9.837933661176999, 18, 682.5558374124602
03-01-2021, 69.22, 126550614.8910064, 17.24213369573, 27, 1193.5004944184307
